iter	Passed	Remaining
407	7246	10515
408	7264	10497
409	7285	10483
410	7297	10458
411	7325	10454
412	7336	10427
413	7354	10409
414	7358	10372
415	7369	10345
416	7388	10329
417	7399	10302
418	7422	10291
419	7434	10267
420	7458	10257
421	7465	10225
422	7489	10215
423	7514	10207
424	7531	10189
425	7543	10163
426	7554	10137
427	7574	10122
428	7586	10097
429	7611	10089
430	7621	10062
431	7633	10036
432	7651	10019
433	7668	10000
434	7680	9975
435	7693	9952
436	7710	9934
437	7723	9909
438	7735	9885
439	7742	9853
440	7748	9821
441	7754	9789
442	7760	9758
443	7780	9743
444	7789	9715
445	7801	9690
446	7814	9667
447	7826	9643
448	7843	9625
449	7853	9599
450	7866	9575
451	7883	9558
452	7907	9547
453	7922	9527
454	7932	9501
455	7946	9480
456	7953	9449
457	7988	9453
458	8027	9461
459	8036	9433
460	8054	9417
461	8079	9409
462	8109	9405
463	8121	9381
464	8154	9382
465	8174	9367
466	8189	9347
467	8193	9314
468	8203	9287
469	8230	9280
470	8254	9271
471	8282	9265
472	8310	9259
473	8329	9243
474	8340	9218
475	8349	9191
476	8361	9168
477	8372	9143
478	8393	9129
479	8405	9106
480	8417	9083
481	8428	9058
482	8451	9046
483	8467	9027
484	8484	9009
485	8514	9005
486	8526	8981
487	8547	8968
488	8557	8942
489	8570	8920
490	8600	8916
491	8624	8904
492	8638	8884
493	8691	8902
494	8715	8891
495	8721	8862
496	8750	8856
497	8762	8832
498	8773	8809
499	8794	8794
500	8806	8770
501	8839	8768
502	8856	8751
503	8866	8725
504	8882	8706
505	8893	8682
506	8903	8657
507	8914	8633
508	8923	8607
509	8933	8582
510	8942	8557
511	8955	8535
512	8975	8520
513	8999	8508
514	9072	8543
515	9083	8519
516	9089	8492
517	9106	8473
518	9144	8474
519	9162	8457
520	9173	8433
521	9181	8407
522	9193	8384
523	9208	8364
524	9220	8342
525	9225	8313
526	9232	8286
527	9244	8263
528	9268	8252
529	9280	8229
530	9294	8209
531	9310	8190
532	9322	8168
533	9366	8174
534	9381	8153
535	9411	8147
536	9449	8147
537	9464	8127
538	9483	8111
539	9516	8106
540	9555	8107
541	9583	8098
542	9595	8075
543	9601	8048
544	9612	8024
545	9629	8006
546	9654	7995
547	9667	7973
548	9682	7954
549	9701	7937
550	9726	7925
551	9745	7909
552	9756	7886
553	9770	7865
554	9788	7848
555	9803	7828
556	9813	7805
557	9832	7788
558	9847	7768
559	9870	7755
560	9908	7754
561	9919	7730
562	9929	7706
563	9937	7682
564	9951	7661
565	9961	7638
566	9980	7621
567	10005	7609
568	10024	7592
569	10098	7618
570	10145	7622
571	10168	7608
572	10204	7604
573	10224	7587
574	10232	7563
575	10246	7542
576	10254	7517
577	10271	7498
578	10281	7475
579	10306	7463
580	10317	7440
581	10347	7432
582	10360	7410
583	10372	7388
584	10380	7363
585	10391	7341
586	10401	7318
587	10412	7295
588	10430	7278
589	10445	7258
590	10474	7248
591	10490	7229
592	10501	7207
593	10508	7182
